"V1","V2","pValue","FDR","pCorr","V1zeros","V1nonZeros","V1mean","V1sd","V1median","V2zeros","V2nonZeros","V2mean","V2sd","V2median","V1minusV2","feature"
"RND.PAIR","PAR_CH",0.0536174707163913,0.080426206074587,0.130355664538585,0,2000,0.655844689281484,0.132973018222451,0.651824886624673,0,301,0.63783086333137,0.135195374242832,0.641851563071951,0.0180138259501141,"BC_Spec"
"RND.PAIR","SIBL",0.0434518881795284,0.080426206074587,0.130355664538585,0,2000,0.655844689281484,0.132973018222451,0.651824886624673,0,301,0.637583563309113,0.140122717698939,0.6378203182504,0.018261125972371,"BC_Spec"
"PAR_CH","SIBL",0.908584859526371,0.908584859526371,0.908584859526371,0,301,0.63783086333137,0.135195374242832,0.641851563071951,0,301,0.637583563309113,0.140122717698939,0.6378203182504,0.000247300022256813,"BC_Spec"
