"V1","V2","pValue","FDR","pCorr","V1zeros","V1nonZeros","V1mean","V1sd","V1median","V2zeros","V2nonZeros","V2mean","V2sd","V2median","V1minusV2","feature"
"RND.PAIR","1stDEG.SEP",0.00863548211039618,0.00863548211039618,0.00863548211039618,0,2000,0.655844689281484,0.132973018222451,0.651824886624673,0,602,0.637707213320241,0.137566554903101,0.639003028749754,0.0181374759612426,"BC_Spec"
"RND.PAIR","1stDEG.COH",1.32833943673316e-35,3.98501831019949e-35,3.98501831019949e-35,0,2000,0.655844689281484,0.132973018222451,0.651824886624673,0,429,0.552804691920302,0.155224247909302,0.53986291208307,0.103039997361182,"BC_Spec"
"1stDEG.SEP","1stDEG.COH",1.8222975838156e-18,2.7334463757234e-18,3.6445951676312e-18,0,602,0.637707213320241,0.137566554903101,0.639003028749754,0,429,0.552804691920302,0.155224247909302,0.53986291208307,0.084902521399939,"BC_Spec"
