"V1","V2","pValue","FDR","pCorr","V1zeros","V1nonZeros","V1mean","V1sd","V1median","V2zeros","V2nonZeros","V2mean","V2sd","V2median","V1minusV2","feature"
"RND.PAIR","1stDEG.SEP",0.563748541097411,0.563748541097411,0.563748541097411,0,2000,0.819466787892987,0.187737364226019,0.87981699683642,0,602,0.811493002977037,0.195233593761084,0.87027468558389,0.00797378491594991,"BC_VF"
"RND.PAIR","1stDEG.COH",1.98283440285897e-06,5.94850320857691e-06,5.94850320857691e-06,0,2000,0.819466787892987,0.187737364226019,0.87981699683642,0,429,0.759172162316996,0.230535152423503,0.838744153642754,0.0602946255759904,"BC_VF"
"1stDEG.SEP","1stDEG.COH",0.000409727046227341,0.000614590569341012,0.000819454092454683,0,602,0.811493002977037,0.195233593761084,0.87027468558389,0,429,0.759172162316996,0.230535152423503,0.838744153642754,0.0523208406600405,"BC_VF"
