"V1","V2","pValue","FDR","pCorr","V1zeros","V1nonZeros","V1mean","V1sd","V1median","V2zeros","V2nonZeros","V2mean","V2sd","V2median","V1minusV2","feature"
"RND.PAIR","1stDEG.SEP",0.00996721203656935,0.00996721203656935,0.00996721203656935,0,2000,0.671556659078775,0.176168620001079,0.68211407428345,0,602,0.649995734991092,0.184433953193435,0.647006324187417,0.0215609240876833,"BC_CARD"
"RND.PAIR","1stDEG.COH",5.44378154837159e-13,1.63313446451148e-12,1.63313446451148e-12,0,2000,0.671556659078775,0.176168620001079,0.68211407428345,0,428,0.597429327473044,0.187572847250639,0.605376119475421,0.0741273316057308,"BC_CARD"
"1stDEG.SEP","1stDEG.COH",3.78544656812091e-05,5.67816985218137e-05,7.57089313624183e-05,0,602,0.649995734991092,0.184433953193435,0.647006324187417,0,428,0.597429327473044,0.187572847250639,0.605376119475421,0.0525664075180475,"BC_CARD"
