"V1","V2","pValue","FDR","pCorr","V1zeros","V1nonZeros","V1mean","V1sd","V1median","V2zeros","V2nonZeros","V2mean","V2sd","V2median","V1minusV2","feature"
"RND.PAIR","1stDEG.SEP",0.95911324306406,0.95911324306406,0.95911324306406,0,2000,0.19875427277429,0.0655897298480726,0.184998938744758,0,602,0.199741050549922,0.068694093097458,0.184854861782562,-0.000986777775632192,"BC_PWY"
"RND.PAIR","1stDEG.COH",2.63430951621708e-15,7.90292854865125e-15,7.90292854865125e-15,0,2000,0.19875427277429,0.0655897298480726,0.184998938744758,0,429,0.174758433135804,0.0639334212495767,0.163614390630149,0.0239958396384856,"BC_PWY"
"1stDEG.SEP","1stDEG.COH",1.05881750798783e-10,1.58822626198175e-10,2.11763501597567e-10,0,602,0.199741050549922,0.068694093097458,0.184854861782562,0,429,0.174758433135804,0.0639334212495767,0.163614390630149,0.0249826174141178,"BC_PWY"
